date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
22/10/2011;Russia;Bosnia and Herzegovina;4;1;UEFA Euro qualification;Krasnoarmeysk;Russia;FALSE
22/10/2011;Macedonia;Italy;0;9;UEFA Euro qualification;Prilep;Macedonia;FALSE
22/10/2011;Poland;Greece;2;0;UEFA Euro qualification;Nowy Sącz;Poland;FALSE
22/10/2011;Turkey;Kazakhstan;0;0;UEFA Euro qualification;Mersin;Turkey;FALSE
22/10/2011;Romania;Germany;0;3;UEFA Euro qualification;Bucharest;Romania;FALSE
22/10/2011;Hungary;Iceland;0;1;UEFA Euro qualification;Pápa;Hungary;FALSE
22/10/2011;Bulgaria;Northern Ireland;0;1;UEFA Euro qualification;Lovech;Bulgaria;FALSE
22/10/2011;Republic of Ireland;Israel;2;0;UEFA Euro qualification;Dublin;Republic of Ireland;FALSE
22/10/2011;Wales;France;1;4;UEFA Euro qualification;Llanelli;Wales;FALSE
22/10/2011;Ukraine;Slovakia;0;0;UEFA Euro qualification;Chernihiv;Ukraine;FALSE
22/10/2011;Finland;Estonia;6;0;UEFA Euro qualification;Vantaa;Finland;FALSE
22/10/2011;Croatia;Netherlands;0;3;UEFA Euro qualification;Vrbovec;Croatia;FALSE
22/10/2011;Slovenia;Serbia;1;2;UEFA Euro qualification;Domžale;Slovenia;FALSE
22/10/2011;Czech Republic;Portugal;1;0;UEFA Euro qualification;Písek;Czech Republic;FALSE
22/10/2011;Denmark;Austria;3;0;UEFA Euro qualification;Vejle;Denmark;FALSE
23/10/2011;Spain;Switzerland;3;2;UEFA Euro qualification;Madrid;Spain;FALSE
26/10/2011;Macedonia;Greece;1;1;UEFA Euro qualification;Prilep;Macedonia;FALSE
26/10/2011;Italy;Russia;2;0;UEFA Euro qualification;Treviso;Italy;FALSE
26/10/2011;Poland;Bosnia and Herzegovina;4;0;UEFA Euro qualification;Sosnowiec;Poland;FALSE
26/10/2011;Belgium;Norway;0;1;UEFA Euro qualification;Dessel;Belgium;FALSE
26/10/2011;Northern Ireland;Iceland;0;2;UEFA Euro qualification;Belfast;Northern Ireland;FALSE
26/10/2011;France;Israel;5;0;UEFA Euro qualification;Troyes;France;FALSE
26/10/2011;Slovakia;Estonia;3;1;UEFA Euro qualification;Senec;Slovakia;FALSE
26/10/2011;Austria;Armenia;3;0;UEFA Euro qualification;Bruck an der Mur;Austria;FALSE
26/10/2011;Portugal;Denmark;0;3;UEFA Euro qualification;Barcelos;Portugal;FALSE
27/10/2011;Kazakhstan;Spain;0;4;UEFA Euro qualification;Shymkent;Kazakhstan;FALSE
27/10/2011;Romania;Turkey;7;1;UEFA Euro qualification;Bucharest;Romania;FALSE
27/10/2011;Bulgaria;Hungary;0;4;UEFA Euro qualification;Lovech;Bulgaria;FALSE
27/10/2011;Scotland;Wales;2;2;UEFA Euro qualification;Edinburgh;Scotland;FALSE
27/10/2011;Belarus;Finland;2;2;UEFA Euro qualification;Molodechno;Belarus;FALSE
27/10/2011;Croatia;Slovenia;3;3;UEFA Euro qualification;Vrbovec;Croatia;FALSE
27/10/2011;Netherlands;England;0;0;UEFA Euro qualification;Zwolle;Netherlands;FALSE
